id,ref,phases,expmeth,solvent,property,property_type,V1,V2,V3,V4,dV4,dV3,temperature,pressure,mole_fraction,gamma,cmp1_id,cmp1_name,cmp1_formula,cmp1_smiles,cmp1_smiles_error,cmp1_sample,cmp1_mw,cmp2_id,cmp2_name,cmp2_formula,cmp2_smiles,cmp2_smiles_error,cmp2_sample,cmp2_mw
gEUmo,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.15,0.0,101.0,1.28,0.08,,328.15,101.0,0.0,1.28,,,,,,,,,,,,,,
gEUmo,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.15,0.0,101.0,1.18,0.08,,338.15,101.0,0.0,1.18,,,,,,,,,,,,,,
gEUmo,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.15,0.0,101.0,1.06,0.07,,348.15,101.0,0.0,1.06,,,,,,,,,,,,,,
gEUmo,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",358.15,0.0,101.0,0.988,0.062,,358.15,101.0,0.0,0.988,,,,,,,,,,,,,,
gEUmo,"{'full': 'Domanska, U.; Zawadzki, M.; Krolikowska, M.; Tshibangu, M. M.; Ramjugernath, D.; Letcher, T. M. (2011) J. Chem. Thermodyn. 43(3), 499-504.', 'title': 'Measurements of activity coefficients at infinite dilution of organic compounds and water in isoquinolinium-based ionic liquid [C8iQuin][NTf2] using GLC'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",368.15,0.0,101.0,0.916,0.058,,368.15,101.0,0.0,0.916,,,,,,,,,,,,,,
AGzVk,"{'full': 'Domanska, U.; Lukoshko, E. V.; Wlazlo, M. (2012) J. Chem. Thermodyn. 47, 389-396.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-hexyl-3-methylimidazolium tetracyanoborate'}","['Liquid', 'Gas']",Chromatography,1-hexyl-3-methylimidazolium tetracyanoborate,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.15,0.0,,0.83,,0.03,328.15,,0.0,0.83,,,,,,,,,,,,,,
AGzVk,"{'full': 'Domanska, U.; Lukoshko, E. V.; Wlazlo, M. (2012) J. Chem. Thermodyn. 47, 389-396.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-hexyl-3-methylimidazolium tetracyanoborate'}","['Liquid', 'Gas']",Chromatography,1-hexyl-3-methylimidazolium tetracyanoborate,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.15,0.0,,0.856,,0.027,338.15,,0.0,0.856,,,,,,,,,,,,,,
AGzVk,"{'full': 'Domanska, U.; Lukoshko, E. V.; Wlazlo, M. (2012) J. Chem. Thermodyn. 47, 389-396.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-hexyl-3-methylimidazolium tetracyanoborate'}","['Liquid', 'Gas']",Chromatography,1-hexyl-3-methylimidazolium tetracyanoborate,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.15,0.0,,0.878,,0.027,348.15,,0.0,0.878,,,,,,,,,,,,,,
AGzVk,"{'full': 'Domanska, U.; Lukoshko, E. V.; Wlazlo, M. (2012) J. Chem. Thermodyn. 47, 389-396.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-hexyl-3-methylimidazolium tetracyanoborate'}","['Liquid', 'Gas']",Chromatography,1-hexyl-3-methylimidazolium tetracyanoborate,Activity coefficient of component,"Activity, fugacity, and osmotic properties",358.15,0.0,,0.902,,0.026,358.15,,0.0,0.902,,,,,,,,,,,,,,
AGzVk,"{'full': 'Domanska, U.; Lukoshko, E. V.; Wlazlo, M. (2012) J. Chem. Thermodyn. 47, 389-396.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-hexyl-3-methylimidazolium tetracyanoborate'}","['Liquid', 'Gas']",Chromatography,1-hexyl-3-methylimidazolium tetracyanoborate,Activity coefficient of component,"Activity, fugacity, and osmotic properties",368.15,0.0,,0.926,,0.026,368.15,,0.0,0.926,,,,,,,,,,,,,,
pdmFL,"{'full': 'Domanska, U.; Krolikowski, M.; Acree, Jr., W. E.; Baker, G. A. (2013) J. Chem. Thermodyn. 58, 62-69.', 'title': 'Physicochemical properties and activity coefficients at infinite dilution  for organic solutes and water in a novel bicyclic guanidinium superbase-derived  protic ionic liquid'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",308.15,101.0,0.0,2.1,0.14,,308.15,101.0,0.0,2.1,,,,,,,,,,,,,,
pdmFL,"{'full': 'Domanska, U.; Krolikowski, M.; Acree, Jr., W. E.; Baker, G. A. (2013) J. Chem. Thermodyn. 58, 62-69.', 'title': 'Physicochemical properties and activity coefficients at infinite dilution  for organic solutes and water in a novel bicyclic guanidinium superbase-derived  protic ionic liquid'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",318.15,101.0,0.0,1.95,0.13,,318.15,101.0,0.0,1.95,,,,,,,,,,,,,,
pdmFL,"{'full': 'Domanska, U.; Krolikowski, M.; Acree, Jr., W. E.; Baker, G. A. (2013) J. Chem. Thermodyn. 58, 62-69.', 'title': 'Physicochemical properties and activity coefficients at infinite dilution  for organic solutes and water in a novel bicyclic guanidinium superbase-derived  protic ionic liquid'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.15,101.0,0.0,1.79,0.12,,328.15,101.0,0.0,1.79,,,,,,,,,,,,,,
pdmFL,"{'full': 'Domanska, U.; Krolikowski, M.; Acree, Jr., W. E.; Baker, G. A. (2013) J. Chem. Thermodyn. 58, 62-69.', 'title': 'Physicochemical properties and activity coefficients at infinite dilution  for organic solutes and water in a novel bicyclic guanidinium superbase-derived  protic ionic liquid'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.15,101.0,0.0,1.7,0.11,,338.15,101.0,0.0,1.7,,,,,,,,,,,,,,
pdmFL,"{'full': 'Domanska, U.; Krolikowski, M.; Acree, Jr., W. E.; Baker, G. A. (2013) J. Chem. Thermodyn. 58, 62-69.', 'title': 'Physicochemical properties and activity coefficients at infinite dilution  for organic solutes and water in a novel bicyclic guanidinium superbase-derived  protic ionic liquid'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.15,101.0,0.0,1.6,0.11,,348.15,101.0,0.0,1.6,,,,,,,,,,,,,,
SNXhy,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.15,0.0,101.325,28.5,1.9,,328.15,101.325,0.0,28.5,,,,,,,,,,,,,,
SNXhy,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.15,0.0,101.325,29.3,2.0,,338.15,101.325,0.0,29.3,,,,,,,,,,,,,,
SNXhy,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.15,0.0,101.325,30.1,2.1,,348.15,101.325,0.0,30.1,,,,,,,,,,,,,,
SNXhy,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",358.15,0.0,101.325,30.8,2.1,,358.15,101.325,0.0,30.8,,,,,,,,,,,,,,
SNXhy,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",368.15,0.0,101.325,31.6,2.2,,368.15,101.325,0.0,31.6,,,,,,,,,,,,,,
vlQiw,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",328.15,0.0,101.325,55.7,3.8,,328.15,101.325,0.0,55.7,,,,,,,,,,,,,,
vlQiw,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",338.15,0.0,101.325,57.9,4.0,,338.15,101.325,0.0,57.9,,,,,,,,,,,,,,
vlQiw,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",348.15,0.0,101.325,60.0,4.1,,348.15,101.325,0.0,60.0,,,,,,,,,,,,,,
vlQiw,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",358.15,0.0,101.325,62.2,4.3,,358.15,101.325,0.0,62.2,,,,,,,,,,,,,,
vlQiw,"{'full': 'Domanska, Urszula; Karpinska, Monika; Wlazlo, Michal (2018) J. Chem. Thermodyn. 121, 112-120.', 'title': 'Thermodynamic study of molecular interaction-selectivity in separation processes based on limiting activity coefficients'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",368.15,0.0,101.325,64.3,4.4,,368.15,101.325,0.0,64.3,,,,,,,,,,,,,,
wOciS,"{'full': 'Durski, Marcin; Naidoo, Prathieka; Ramjugernath, Deresh; Domanska, Urszula (2018) Fluid Phase Equilib. 473, 175-182.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-butyl-1-methylpyrrolidinium dicyanamide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",313.15,100.0,0.0,19.4,2.0,,313.15,100.0,0.0,19.4,,,,,,,,,,,,,,
wOciS,"{'full': 'Durski, Marcin; Naidoo, Prathieka; Ramjugernath, Deresh; Domanska, Urszula (2018) Fluid Phase Equilib. 473, 175-182.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-butyl-1-methylpyrrolidinium dicyanamide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",323.15,100.0,0.0,18.8,2.0,,323.15,100.0,0.0,18.8,,,,,,,,,,,,,,
wOciS,"{'full': 'Durski, Marcin; Naidoo, Prathieka; Ramjugernath, Deresh; Domanska, Urszula (2018) Fluid Phase Equilib. 473, 175-182.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-butyl-1-methylpyrrolidinium dicyanamide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",343.15,100.0,0.0,19.1,2.0,,343.15,100.0,0.0,19.1,,,,,,,,,,,,,,
wOciS,"{'full': 'Durski, Marcin; Naidoo, Prathieka; Ramjugernath, Deresh; Domanska, Urszula (2018) Fluid Phase Equilib. 473, 175-182.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-butyl-1-methylpyrrolidinium dicyanamide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",363.15,100.0,0.0,18.6,2.0,,363.15,100.0,0.0,18.6,,,,,,,,,,,,,,
wOciS,"{'full': 'Durski, Marcin; Naidoo, Prathieka; Ramjugernath, Deresh; Domanska, Urszula (2018) Fluid Phase Equilib. 473, 175-182.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-butyl-1-methylpyrrolidinium dicyanamide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",373.15,100.0,0.0,18.3,1.9,,373.15,100.0,0.0,18.3,,,,,,,,,,,,,,
ZcrFD,"{'full': 'Ge, M.-L.; Zhang, Q.; Li, S.-N.; Li, Y.-J.; Zhang, X.-Z.; Mu, Z. (2016) J. Chem. Thermodyn. 102, 303-309.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-hexyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",313.15,0.0,101.3,1.34,0.14,,313.15,101.3,0.0,1.34,,,,,,,,,,,,,,
ZcrFD,"{'full': 'Ge, M.-L.; Zhang, Q.; Li, S.-N.; Li, Y.-J.; Zhang, X.-Z.; Mu, Z. (2016) J. Chem. Thermodyn. 102, 303-309.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-hexyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",323.15,0.0,101.3,1.38,0.14,,323.15,101.3,0.0,1.38,,,,,,,,,,,,,,
ZcrFD,"{'full': 'Ge, M.-L.; Zhang, Q.; Li, S.-N.; Li, Y.-J.; Zhang, X.-Z.; Mu, Z. (2016) J. Chem. Thermodyn. 102, 303-309.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-hexyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",333.15,0.0,101.3,1.41,0.15,,333.15,101.3,0.0,1.41,,,,,,,,,,,,,,
ZcrFD,"{'full': 'Ge, M.-L.; Zhang, Q.; Li, S.-N.; Li, Y.-J.; Zhang, X.-Z.; Mu, Z. (2016) J. Chem. Thermodyn. 102, 303-309.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-hexyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",343.15,0.0,101.3,1.44,0.15,,343.15,101.3,0.0,1.44,,,,,,,,,,,,,,
ZcrFD,"{'full': 'Ge, M.-L.; Zhang, Q.; Li, S.-N.; Li, Y.-J.; Zhang, X.-Z.; Mu, Z. (2016) J. Chem. Thermodyn. 102, 303-309.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes in the ionic liquid 1-hexyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",353.15,0.0,101.3,1.47,0.15,,353.15,101.3,0.0,1.47,,,,,,,,,,,,,,
aAWQz,"{'full': 'He, Zhuang-Zhuang; Zhai, Jia-Yu; Mu, Han; Zhang, Miao; Yu, Ying; Zheng, Jia-Li; Jiao, Yu-Hai; Ge, Ming-Lan; Wu, Rui-Xiang (2018) J. Chem. Thermodyn. 125, 142-148.', 'title': 'Thermodynamics and selectivity of separation based on activity coefficients at infinite dilution of various solutes in ionic liquid [HMMIM][BF4]'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",313.15,0.0,101.325,2.28,0.24,,313.15,101.325,0.0,2.28,,,,,,,,,,,,,,
aAWQz,"{'full': 'He, Zhuang-Zhuang; Zhai, Jia-Yu; Mu, Han; Zhang, Miao; Yu, Ying; Zheng, Jia-Li; Jiao, Yu-Hai; Ge, Ming-Lan; Wu, Rui-Xiang (2018) J. Chem. Thermodyn. 125, 142-148.', 'title': 'Thermodynamics and selectivity of separation based on activity coefficients at infinite dilution of various solutes in ionic liquid [HMMIM][BF4]'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",323.15,0.0,101.325,2.15,0.23,,323.15,101.325,0.0,2.15,,,,,,,,,,,,,,
aAWQz,"{'full': 'He, Zhuang-Zhuang; Zhai, Jia-Yu; Mu, Han; Zhang, Miao; Yu, Ying; Zheng, Jia-Li; Jiao, Yu-Hai; Ge, Ming-Lan; Wu, Rui-Xiang (2018) J. Chem. Thermodyn. 125, 142-148.', 'title': 'Thermodynamics and selectivity of separation based on activity coefficients at infinite dilution of various solutes in ionic liquid [HMMIM][BF4]'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",333.15,0.0,101.325,2.01,0.21,,333.15,101.325,0.0,2.01,,,,,,,,,,,,,,
aAWQz,"{'full': 'He, Zhuang-Zhuang; Zhai, Jia-Yu; Mu, Han; Zhang, Miao; Yu, Ying; Zheng, Jia-Li; Jiao, Yu-Hai; Ge, Ming-Lan; Wu, Rui-Xiang (2018) J. Chem. Thermodyn. 125, 142-148.', 'title': 'Thermodynamics and selectivity of separation based on activity coefficients at infinite dilution of various solutes in ionic liquid [HMMIM][BF4]'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",343.15,0.0,101.325,1.9,0.2,,343.15,101.325,0.0,1.9,,,,,,,,,,,,,,
aAWQz,"{'full': 'He, Zhuang-Zhuang; Zhai, Jia-Yu; Mu, Han; Zhang, Miao; Yu, Ying; Zheng, Jia-Li; Jiao, Yu-Hai; Ge, Ming-Lan; Wu, Rui-Xiang (2018) J. Chem. Thermodyn. 125, 142-148.', 'title': 'Thermodynamics and selectivity of separation based on activity coefficients at infinite dilution of various solutes in ionic liquid [HMMIM][BF4]'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",353.15,0.0,101.325,1.85,0.19,,353.15,101.325,0.0,1.85,,,,,,,,,,,,,,
qnMop,"{'full': 'He, Zhuang-Zhuang; Miao-Zhang; Ge, Ming-Lan; Jiao, Yu-Hai; Zhao-Mu; Yi, Yu-Feng; Ding, Fu-Chen (2019) J. Chem. Thermodyn. 129, 22-29.', 'title': 'Separation of binary mixtures based on gamma infinity data using [OMMIM][BF4] ionic liquid and modelling of thermodynamic functions'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",313.15,0.0,101.325,2.5,0.26,,313.15,101.325,0.0,2.5,,,,,,,,,,,,,,
qnMop,"{'full': 'He, Zhuang-Zhuang; Miao-Zhang; Ge, Ming-Lan; Jiao, Yu-Hai; Zhao-Mu; Yi, Yu-Feng; Ding, Fu-Chen (2019) J. Chem. Thermodyn. 129, 22-29.', 'title': 'Separation of binary mixtures based on gamma infinity data using [OMMIM][BF4] ionic liquid and modelling of thermodynamic functions'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",323.15,0.0,101.325,2.35,0.25,,323.15,101.325,0.0,2.35,,,,,,,,,,,,,,
qnMop,"{'full': 'He, Zhuang-Zhuang; Miao-Zhang; Ge, Ming-Lan; Jiao, Yu-Hai; Zhao-Mu; Yi, Yu-Feng; Ding, Fu-Chen (2019) J. Chem. Thermodyn. 129, 22-29.', 'title': 'Separation of binary mixtures based on gamma infinity data using [OMMIM][BF4] ionic liquid and modelling of thermodynamic functions'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",333.15,0.0,101.325,2.2,0.23,,333.15,101.325,0.0,2.2,,,,,,,,,,,,,,
qnMop,"{'full': 'He, Zhuang-Zhuang; Miao-Zhang; Ge, Ming-Lan; Jiao, Yu-Hai; Zhao-Mu; Yi, Yu-Feng; Ding, Fu-Chen (2019) J. Chem. Thermodyn. 129, 22-29.', 'title': 'Separation of binary mixtures based on gamma infinity data using [OMMIM][BF4] ionic liquid and modelling of thermodynamic functions'}",['Liquid'],Chromatography,,Activity coefficient of component,"Activity, fugacity, and osmotic properties",343.15,0.0,101.325,2.07,0.22,,343.15,101.325,0.0,2.07,,,,,,,,,,,,,,
